entity,neighbor,similarity
http://barbaragoldsmith.com,http://example.org/kg/America,0.4965
http://barbaragoldsmith.com,http://example.org/kg/Police_Athletic_League,0.4825
http://barbaragoldsmith.com,http://example.org/kg/the_American_Philosophical_Society,0.4188
http://barbaragoldsmith.com,http://example.org/kg/the_Association_for_Computing_Machinery,0.4174
http://barbaragoldsmith.com,http://example.org/kg/Why_Einstein_Became_Famous,0.4141
http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BB%C3%B3rawscy%20rodzinny%20gr%C3%B3b.jpg,http://www.wikidata.org/entity/Q61577006,0.4844
http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BB%C3%B3rawscy%20rodzinny%20gr%C3%B3b.jpg,http://example.org/kg/the_United_Nations_Conference_on_Trade_and_Development,0.4804
http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BB%C3%B3rawscy%20rodzinny%20gr%C3%B3b.jpg,http://example.org/kg/Paul,0.4155
http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BB%C3%B3rawscy%20rodzinny%20gr%C3%B3b.jpg,http://www.wikidata.org/entity/Q218879,0.4055
http://commons.wikimedia.org/wiki/Special:FilePath/%C5%BB%C3%B3rawscy%20rodzinny%20gr%C3%B3b.jpg,http://www.wikidata.org/entity/Q13371,0.4005
http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20XII%20%28cropped%29.JPG,http://example.org/kg/M_Malo,0.4938
http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20XII%20%28cropped%29.JPG,http://example.org/kg/New_York_History,0.4786
http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20XII%20%28cropped%29.JPG,http://example.org/kg/Jonathan_P,0.4760
http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20XII%20%28cropped%29.JPG,http://example.org/kg/Press_Relations,0.4545
http://commons.wikimedia.org/wiki/Special:FilePath/Alfons%20XII%20%28cropped%29.JPG,http://example.org/kg/the_United_States230_Walk,0.4497
http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20XII%20of%20Spain%20signature.svg,http://example.org/kg/New_York_Fashion,0.5025
http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20XII%20of%20Spain%20signature.svg,http://example.org/kg/Brideshead_Revisited,0.4980
http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20XII%20of%20Spain%20signature.svg,http://example.org/kg/Zionist_Icon,0.4946
http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20XII%20of%20Spain%20signature.svg,http://example.org/kg/Loop,0.4178
http://commons.wikimedia.org/wiki/Special:FilePath/Alfonso%20XII%20of%20Spain%20signature.svg,http://example.org/kg/Kojun,0.4157
http://commons.wikimedia.org/wiki/Special:FilePath/BarbaraGoldsmith%20Photo.jpg,http://example.org/kg/Queens_Pride_Parade,0.5124
http://commons.wikimedia.org/wiki/Special:FilePath/BarbaraGoldsmith%20Photo.jpg,http://example.org/kg/Hirvonsalo,0.4943
http://commons.wikimedia.org/wiki/Special:FilePath/BarbaraGoldsmith%20Photo.jpg,http://example.org/kg/Hurricanes,0.4820
http://commons.wikimedia.org/wiki/Special:FilePath/BarbaraGoldsmith%20Photo.jpg,http://example.org/kg/Bohl,0.4719
http://commons.wikimedia.org/wiki/Special:FilePath/BarbaraGoldsmith%20Photo.jpg,http://example.org/kg/Meyrin,0.4678
http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Hoffman%20Kellogg%20%281918%29.jpg,http://example.org/kg/Womens_National_Basketball_Association,0.4453
http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Hoffman%20Kellogg%20%281918%29.jpg,http://example.org/kg/Hedy_Gregor,0.4367
http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Hoffman%20Kellogg%20%281918%29.jpg,http://example.org/kg/Modern_Physics,0.4272
http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Hoffman%20Kellogg%20%281918%29.jpg,http://example.org/kg/national_Public_Broadcasting_Service,0.4271
http://commons.wikimedia.org/wiki/Special:FilePath/Charlotte%20Hoffman%20Kellogg%20%281918%29.jpg,http://example.org/kg/the_NYC__Company,0.4247
http://commons.wikimedia.org/wiki/Special:FilePath/Commemorative%20%C5%BBorawski%20Medal%2C%201931.jpg,http://example.org/kg/the_Jewish_Museum,0.5209
http://commons.wikimedia.org/wiki/Special:FilePath/Commemorative%20%C5%BBorawski%20Medal%2C%201931.jpg,http://example.org/kg/Journal_of_Physics_G_Nuclear_and_Particle_Physics,0.4130
http://commons.wikimedia.org/wiki/Special:FilePath/Commemorative%20%C5%BBorawski%20Medal%2C%201931.jpg,http://example.org/kg/Shallwani,0.4084
http://commons.wikimedia.org/wiki/Special:FilePath/Commemorative%20%C5%BBorawski%20Medal%2C%201931.jpg,http://example.org/kg/the_Panthon_,0.4077
http://commons.wikimedia.org/wiki/Special:FilePath/Commemorative%20%C5%BBorawski%20Medal%2C%201931.jpg,http://example.org/kg/Modern_Physics,0.4075
http://commons.wikimedia.org/wiki/Special:FilePath/Dominique-Reymond-Protocole-crroped.jpg,http://example.org/kg/Costa_Rica,0.5759
http://commons.wikimedia.org/wiki/Special:FilePath/Dominique-Reymond-Protocole-crroped.jpg,http://example.org/kg/Marie_Mattingly_Meloney,0.4306
http://commons.wikimedia.org/wiki/Special:FilePath/Dominique-Reymond-Protocole-crroped.jpg,http://example.org/kg/the_Stoke_Mandeville_Games,0.4237
http://commons.wikimedia.org/wiki/Special:FilePath/Dominique-Reymond-Protocole-crroped.jpg,http://example.org/kg/Bertrand,0.4159
http://commons.wikimedia.org/wiki/Special:FilePath/Dominique-Reymond-Protocole-crroped.jpg,http://example.org/kg/The_Private_Lives,0.4085
http://commons.wikimedia.org/wiki/Special:FilePath/Eiffel%20logo.svg,http://example.org/kg/SCOAP3,0.5238
http://commons.wikimedia.org/wiki/Special:FilePath/Eiffel%20logo.svg,http://example.org/kg/775pp,0.5071
http://commons.wikimedia.org/wiki/Special:FilePath/Eiffel%20logo.svg,http://example.org/kg/Nocera,0.4489
http://commons.wikimedia.org/wiki/Special:FilePath/Eiffel%20logo.svg,http://example.org/kg/America,0.4405
http://commons.wikimedia.org/wiki/Special:FilePath/Eiffel%20logo.svg,http://example.org/kg/Kchel,0.4198
http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Rutherford%20LOC.jpg,http://example.org/kg/Eric,0.5866
http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Rutherford%20LOC.jpg,http://example.org/kg/LauraEve,0.4516
http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Rutherford%20LOC.jpg,http://example.org/kg/Biden_Say,0.4508
http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Rutherford%20LOC.jpg,http://example.org/kg/doi101016jphysrep200409001,0.4503
http://commons.wikimedia.org/wiki/Special:FilePath/Ernest%20Rutherford%20LOC.jpg,http://example.org/kg/UN_Headquarters,0.4389
